,date,open,close,high,low,volume
2016-05-04,736088.0,63.489301824,63.618008,64.103110641,63.1923039448,4998000.0
2016-05-05,736089.0,63.816007084,63.281401,64.0734115167,63.1527027437,4037200.0
2016-05-06,736090.0,63.1229989711,63.86551,64.063508915,62.8160990193,3654400.0
2016-05-09,736093.0,63.5883083262,63.340803,63.9348106349,63.1329010208,4261100.0
2016-05-10,736094.0,63.697203281,64.192208,64.479311727,63.3507059178,4042300.0
2016-05-11,736095.0,63.9744122129,63.944705,64.6674158425,63.766511223,4959500.0
2016-05-12,736096.0,64.4199138466,63.697203,64.7070175724,63.429904413,3607800.0
2016-05-13,736097.0,63.7071042166,63.479407,64.3308151015,63.4101063406,4524000.0
2016-05-16,736100.0,63.3804005586,63.429904,63.6576091383,63.0338982491,4879500.0
2016-05-17,736101.0,63.2220033457,62.13299,63.4596026395,61.9646903765,7977600.0
2016-05-18,736102.0,61.9052886742,62.885399,62.9745008387,61.9052886742,5316800.0
2016-05-19,736103.0,62.4299950244,62.113193,62.8952974719,61.6973870635,4587000.0
2016-05-20,736104.0,62.5289958107,63.281401,63.4992040653,62.3210948197,5278200.0
2016-05-23,736107.0,63.2220035376,62.9547,63.4596028321,62.9250007069,3074100.0
2016-05-24,736108.0,63.1527018471,64.221914,64.4496112164,63.1527018471,3946100.0
2016-05-25,736109.0,64.3902134276,64.657513,65.1030211974,64.3605141351,5755900.0
2016-05-26,736110.0,64.6377165857,64.578318,64.71691932,64.3011094199,3593500.0
2016-05-27,736111.0,64.7367147559,64.865414,65.043615695,64.6773171609,3925700.0
2016-05-31,736115.0,65.0436164842,65.103022,65.2614195485,64.7466186057,5256000.0
2016-06-01,736116.0,65.1030216066,65.251525,65.3010205211,64.5288141615,3816000.0
2016-06-02,736117.0,65.2020218452,65.74653,65.74653,64.9446164242,3052200.0
2016-06-03,736118.0,64.8753163668,64.835715,65.1624200889,64.1229072269,4336100.0
2016-06-06,736121.0,64.8951213111,65.281224,65.5386215026,64.8456178694,3915200.0
2016-06-07,736122.0,65.4891264244,65.231721,65.9346267123,65.2218189256,3779500.0
